"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order","practice_rating","sentence_num","rating","Experiment"
"1286","
        <p style=""font-size:20px;""> Welcome! Thank you for your interest in our study. </p>
        <p style=""font-size:20px;""> This study is being conducted by researchers at Bowdoin College.</p>
        <p style=""font-size:20px;""> In this experiment, you will be asked to rate the accuracy of English and Spanish translations.</p>
        <p style=""font-size:20px;""> The entire experiment should not last more than 20 minutes. You will be paid $3 USD for your participation. </p>
        <p style=""font-size:20px;""> Please click <a href = ""https://drive.google.com/file/d/1L92a02eEKCpaAEipmqDcBCDR7rsarqFE/view?usp=sharing"" target = ""_blank"">here</a> to read the full consent form. </p>
        <p style=""font-size:20px;""> If you agree to participate, please click the button below to continue to experiment instructions.</p>
        ","0","consent","39224","html-button-response","0","1288","0.0-0.0","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","","",""
"1909","","{""ID"":""3243""}","ID","39224","survey-text","1","3208","0.0-1.0","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","","",""
"7168","
        <p style=""font-size:20px;""> You are about to begin the practice test. </p>
        <p style=""font-size:20px;""> On each trial, you will see a sentence in English and its corresponding Spanish translation. </p>
        <p style=""font-size:20px;""> You will rate the accuracy of the translation on a scale from ""Not at all accurate"" to ""Very accurate."" </p>
        <p style=""font-size:20px;""> If you rate the translation as ""Somewhat innaccurate"" or ""Not at all accurate,"" you will be asked to provide your own translation or a reason why the translation is inaccurate. </p>
        <p style=""font-size:20px;""> Click the button below to continue to the practice session.</p>","0","instructions","39224","html-button-response","2","10378","0.0-2.0","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","","",""
"3150","You drop a rock on a phone <br> T&uacute tiras una piedra a un tel&eacutefono","{""Q0"":1}","practice","39224","survey-likert","3","13531","0.0-3.0-0.0","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","1","","",""
"1535","You drop a rock on a phone <br> T&uacute tiras una piedra a un tel&eacutefono","{""Q0"":""hi""}","practice_low_rate","39224","survey-text","4","15078","0.0-3.0-1.0-0.0","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","1","",""
"2418","You see how an artist is running <br> T&uacute ves como un artista est&aacute corriendo","{""Q0"":3}","practice","39224","survey-likert","5","17498","0.0-3.0-0.1","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","3","","",""
"1251","You see how a duck is playing with a pumpkin <br> T&uacute ves como un pato est&aacute jugando con una calabaza","{""Q0"":2}","practice","39224","survey-likert","6","18754","0.0-3.0-0.2","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","2","","",""
"1325","You see how a tiger is playing with a goose <br> T&uacute ves como un le&oacuten come una pizza","{""Q0"":4}","practice","39224","survey-likert","7","20083","0.0-3.0-0.3","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","4","","",""
"1149","You see how a teacher is drawing a picture <br> T&uacute ves como un maestro pinta una foto","{""Q0"":2}","practice","39224","survey-likert","8","21236","0.0-3.0-0.4","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","2","","",""
"975","You drop a bowling ball on a mircrowave <br> T&uacute tiras una bola de boliche a un horno","{""Q0"":1}","practice","39224","survey-likert","9","22214","0.0-3.0-0.5","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","1","","",""
"2165","You drop a bowling ball on a mircrowave <br> T&uacute tiras una bola de boliche a un horno","{""Q0"":""hi""}","practice_low_rate","39224","survey-text","10","24391","0.0-3.0-1.5-0.5","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","6","",""
"697","<p style=""font-size:20px;"">You have now completed the practice session! </p>
        <p style=""font-size:20px;"">You will now move on to the main experiment. </p>
        <p style=""font-size:20px;"">Please click the button below to continue. </p>","0","movetoexp","39224","html-button-response","11","25089","0.0-4.0","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","","",""
"2601","You drop a ring on the newspaper <br> T&uacute tiras un anillo al peri&oacutedico","{""Q0"":3}","trial","39224","survey-likert","12","27693","0.0-5.0-0.0","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","41","3",""
"1632","You drop a bowling ball on a blackberry <br> T&uacute tiras una bola de boliche a una mora","{""Q0"":1}","trial","39224","survey-likert","13","29330","0.0-5.0-0.1","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","8","1",""
"1698","You drop a bowling ball on a blackberry <br> T&uacute tiras una bola de boliche a una mora","{""Q0"":""hi""}","low_rate","39224","survey-text","14","31038","0.0-5.0-1.1-0.1","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","8","",""
"1470","You drop a bowling ball on a hat <br> T&uacute tiras una bola de boliche a una gorra","{""Q0"":0}","trial","39224","survey-likert","15","32511","0.0-5.0-0.2","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","10","0",""
"2160","You drop a bowling ball on a hat <br> T&uacute tiras una bola de boliche a una gorra","{""Q0"":""hi""}","low_rate","39224","survey-text","16","34680","0.0-5.0-1.2-0.2","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","10","",""
"1599","You drop a bowling ball on a paper cup <br> T&uacute tiras una bola de boliche a un vaso de papel","{""Q0"":3}","trial","39224","survey-likert","17","36282","0.0-5.0-0.3","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","24","3",""
"1236","You see how a zebra is playing with a horse <br> T&uacute ves como una cebra est&aacute jugando con un caballo","{""Q0"":4}","trial","39224","survey-likert","18","37522","0.0-5.0-0.4","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","66","4",""
"1133","You see how a thief is stealing a wallet <br> T&uacute ves como un ladr&oacuten est&aacute robando una billetera","{""Q0"":3}","trial","39224","survey-likert","19","38659","0.0-5.0-0.5","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","68","3",""
"998","You see how an elephant is eating a watermelon <br> T&uacute ves como un elefante est&aacute comiendo una sand&iacutea","{""Q0"":2}","trial","39224","survey-likert","20","39661","0.0-5.0-0.6","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","31","2",""
"2445","You see how a cat is drinking water from a bowl <br> T&uacute ves como un gato est&aacute bebiendo agua de un cuenco","{""Q0"":3}","trial","39224","survey-likert","21","42111","0.0-5.0-0.7","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","28","3",""
"1164","You see how an astronaut is putting on a space suit <br> T&uacute ves como un astronauta se est&aacute poniendo su traje espacial","{""Q0"":1}","trial","39224","survey-likert","22","43280","0.0-5.0-0.8","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","33","1",""
"2174","You see how an astronaut is putting on a space suit <br> T&uacute ves como un astronauta se est&aacute poniendo su traje espacial","{""Q0"":""hi""}","low_rate","39224","survey-text","23","45465","0.0-5.0-1.8-0.8","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","","","33","",""
"1440","You drop a bowling ball on a wine glass <br> T&uacute tiras una bola de boliche a una copa de vino","{""Q0"":2}","trial","39224","survey-likert","24","46906","0.0-5.0-0.9","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","5","2",""
"1196","You drop a bowling ball on an iPAD <br> T&uacute tiras una bola de boliche a un iPad","{""Q0"":3}","trial","39224","survey-likert","25","48110","0.0-5.0-0.10","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","12","3",""
"1337","You drop a needle on the mouse pad <br> T&uacute tiras una aguja a la alfombrilla para el rat&oacuten","{""Q0"":4}","trial","39224","survey-likert","26","49451","0.0-5.0-0.11","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","42","4",""
"1093","You see how a man is shaving his beard <br> T&uacute ves como un hombre se est&aacute afeitando la barba","{""Q0"":3}","trial","39224","survey-likert","27","50550","0.0-5.0-0.12","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","43","3",""
"1688","You drop a remote on the rug <br> T&uacute tiras un control remoto a la alfombra","{""Q0"":4}","trial","39224","survey-likert","28","52242","0.0-5.0-0.13","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","39","4",""
"1086","You see how a president is writing in the notebook <br> T&uacute ves como un presidente est&aacute escribiendo en la libreta","{""Q0"":3}","trial","39224","survey-likert","29","53333","0.0-5.0-0.14","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","63","3",""
"1092","You drop a pencil on the shoe <br> T&uacute tiras un l&aacutepiz al zapato","{""Q0"":2}","trial","39224","survey-likert","30","54429","0.0-5.0-0.15","1","1","2022-11-29 19:10:41","2df368f4e41f066fd1c82c297b4a1108","139.140.208.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]","","40","2",""
