"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order","practice_rating","sentence_num","rating"
"34409","
        <p style=""font-size:20px;""> Welcome! Thank you for your interest in our study. </p>
        <p style=""font-size:20px;""> This study is being conducted by researchers at Bowdoin College.</p>
        <p style=""font-size:20px;""> In this experiment, you will be asked to rate the accuracy of English and Spanish translations.</p>
        <p style=""font-size:20px;""> The entire experiment should not last more than 20 minutes. You will be paid $3 USD for your participation. </p>
        <p style=""font-size:20px;""> Please click <a href = ""https://drive.google.com/file/d/1L92a02eEKCpaAEipmqDcBCDR7rsarqFE/view?usp=sharing"" target = ""_blank"">here</a> to read the full consent form. </p>
        <p style=""font-size:20px;""> If you agree to participate, please click the button below to continue to experiment instructions.</p>
        ","0","consent","5019","html-button-response","0","34413","0.0-0.0","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","","","",""
"6928","","{""ID"":""5d60061e45714d00019ad6a4""}","ID","5019","survey-text","1","41346","0.0-1.0","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","","","",""
"18245","
        <p style=""font-size:20px;""> You are about to begin the practice test. </p>
        <p style=""font-size:20px;""> On each trial, you will see a sentence in English and its corresponding Spanish translation. </p>
        <p style=""font-size:20px;""> You will rate the accuracy of the translation on a scale from ""Not at all accurate"" to ""Very accurate."" </p>
        <p style=""font-size:20px;""> If you rate the translation as ""Somewhat innaccurate"" or ""Not at all accurate,"" you will be asked to provide your own translation or a reason why the translation is inaccurate. </p>
        <p style=""font-size:20px;""> Click the button below to continue to the practice session.</p>","0","instructions","5019","html-button-response","2","59592","0.0-2.0","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","","","",""
"12913","You drop a bowling ball on a mircrowave <br> T&uacute tiras una bola de boliche a un horno","{""Q0"":4}","practice","5019","survey-likert","3","72510","0.0-3.0-0.0","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","4","",""
"4846","You see how a teacher is drawing a picture <br> T&uacute ves como un maestro pinta una foto","{""Q0"":4}","practice","5019","survey-likert","4","77361","0.0-3.0-0.1","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","4","",""
"14828","You drop a rock on a phone <br> T&uacute tiras una piedra a un tel&eacutefono","{""Q0"":1}","practice","5019","survey-likert","5","92194","0.0-3.0-0.2","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","1","",""
"20504","You drop a rock on a phone <br> T&uacute tiras una piedra a un tel&eacutefono","{""Q0"":""Tiras una piedra encima de un teléfono.""}","practice_low_rate","5019","survey-text","6","112705","0.0-3.0-1.2-0.2","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","","","1",""
"14904","You see how a tiger is playing with a goose <br> T&uacute ves como un le&oacuten come una pizza","{""Q0"":0}","practice","5019","survey-likert","7","127613","0.0-3.0-0.3","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","0","",""
"9045","You see how a tiger is playing with a goose <br> T&uacute ves como un le&oacuten come una pizza","{""Q0"":""Tú ves como un tigre juega con un ganso.""}","practice_low_rate","5019","survey-text","8","136663","0.0-3.0-1.3-0.3","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","","","5",""
"4605","You see how an artist is running <br> T&uacute ves como un artista est&aacute corriendo","{""Q0"":4}","practice","5019","survey-likert","9","141269","0.0-3.0-0.4","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","4","",""
